latitude,longitude
43.329077085387866,179.005317124589
74.64381623377119,153.39689072684502
47.65224686430537,59.49217145376892
-72.1676054458583,51.282100825129646
3.023089337366642,-14.176150332387522
82.09706807216088,-74.79263548201102
83.1951476277442,-112.5995540267297
-37.58812990124261,-147.1582287238968
-62.85694683804674,-102.48423200887912
-34.27867158023934,33.42575494969816
46.71148907375968,-40.40002468191406
-66.64038440011839,50.12580258466144
26.752395982895735,174.1515287942837
-78.41338010453586,-82.218399773909
32.448746415841995,-117.86637256743752
-56.90954295536227,42.720027778923935
-11.217724143291733,144.63651198389226
27.524662595996276,-113.83685954137755
5.087774765874272,-12.66187223347086
38.69594142642492,-98.01197098031763
15.399032006740796,130.9277828534561
-26.656067166107647,34.444144758438256
-61.28297066661898,91.44647811716226
